Denominação_categoria,Denominação_subcategoria,Cód.valorização,Txt.code codif.,Count
Tentos Rompidos,Tento Rompido(Esq),1.0,CONDIÇÃO NORMAL,71
Tentos Rompidos,Tento Rompido(Esq),2.0,AFASTADO DE COMPONENTES,153
Tentos Rompidos,Tento Rompido(Esq),3.0,PROXIMO DE COMPONENTES,19
Vegetação e Limpeza,Entulho,1.0,RISCO FUTURO,642
Vegetação e Limpeza,Entulho,2.0,CONDIÇÃO NORMAL,61
Vegetação e Limpeza,Invasao,-1.0,Desconhecido,5
Vegetação e Limpeza,Invasao,1.0,CONDIÇÃO NORMAL,134
Vegetação e Limpeza,Invasao,2.0,SIM,9
Vegetação e Limpeza,Invasao,3.0,RISCO FUTURO,1770
Vegetação e Limpeza,Invasao,4.0,MURO,41
Vegetação e Limpeza,Invasao,5.0,FS - MURETA,10
Vegetação e Limpeza,Invasao,6.0,FS - CALÇADA,17
Vegetação e Limpeza,Invasao,7.0,FS - INVASÃO - COM NOTIFICACAO,73
Vegetação e Limpeza,Invasao,9.0,FS - MURO - COM NOTIFICACAO,1
Vegetação e Limpeza,Invasao,10.0,FS - MURETA - COM NOTIFICACAO,2
Vegetação e Limpeza,Invasao,11.0,FS - CALÇADA - COM NOTIFICACAO,1
Vegetação e Limpeza,Ninho De Pássaro,-1.0,Desconhecido,37
Vegetação e Limpeza,Ninho De Pássaro,1.0,NINHO NO CORPO DA ESTRUTURA,356
Vegetação e Limpeza,Ninho De Pássaro,2.0,NINHO EM LOCAL DE RISCO,377
Vegetação e Limpeza,Ninho De Pássaro,3.0,CONDIÇÃO PERIGOSA,4
Vegetação e Limpeza,Ninho De Pássaro,4.0,CONDIÇÃO NORMAL,721
Vegetação e Limpeza,Ninho De Pássaro,5.0,PROTETOR ANTI-PASSARO FALTANTE,121
Vegetação e Limpeza,Poda,-1.0,Desconhecido,1
Vegetação e Limpeza,Poda,1.0,INICIO DO VAO,202
Vegetação e Limpeza,Poda,2.0,MEIO DO VAO,529
Vegetação e Limpeza,Poda,3.0,FIM DO VAO,221
Vegetação e Limpeza,Poda,4.0,INICIO E MEIO DO VAO,24
Vegetação e Limpeza,Poda,5.0,MEIO E FIM DO VAO,23
Vegetação e Limpeza,Poda,6.0,INICIO E FIM DO VAO,16
Vegetação e Limpeza,Poda,7.0,VAO COMPLETO,359
Vegetação e Limpeza,Poda,8.0,CONDIÇÃO NORMAL,1184
Vegetação e Limpeza,Rocada Manual,-1.0,Desconhecido,37
Vegetação e Limpeza,Rocada Manual,1.0,INICIO DO VAO,3786
Vegetação e Limpeza,Rocada Manual,2.0,MEIO DO VAO,6246
Vegetação e Limpeza,Rocada Manual,3.0,FIM DO VAO,2140
Vegetação e Limpeza,Rocada Manual,4.0,INICIO E MEIO DO VAO,963
Vegetação e Limpeza,Rocada Manual,5.0,MEIO E FIM DO VAO,897
Vegetação e Limpeza,Rocada Manual,6.0,INICIO E FIM DO VAO,1650
Vegetação e Limpeza,Rocada Manual,7.0,VAO COMPLETO,5917
Vegetação e Limpeza,Rocada Manual,8.0,CONDIÇÃO NORMAL,16373
Vegetação e Limpeza,Rocada Manual,9.0,ROÇADA MOTORIZADA,472
Vegetação e Limpeza,Rocada Mecanizada,-1.0,Desconhecido,15
Vegetação e Limpeza,Rocada Mecanizada,1.0,INICIO DO VAO,811
Vegetação e Limpeza,Rocada Mecanizada,2.0,MEIO DO VAO,2465
Vegetação e Limpeza,Rocada Mecanizada,3.0,FIM DO VAO,729
Vegetação e Limpeza,Rocada Mecanizada,4.0,INICIO E MEIO DO VAO,417
Vegetação e Limpeza,Rocada Mecanizada,5.0,MEIO E FIM DO VAO,488
Vegetação e Limpeza,Rocada Mecanizada,6.0,INICIO E FIM DO VAO,435
Vegetação e Limpeza,Rocada Mecanizada,7.0,VAO COMPLETO,8214
Vegetação e Limpeza,Rocada Mecanizada,8.0,CONDIÇÃO NORMAL,11963
Vegetação e Limpeza,Rocada Mecanizada,9.0,ROÇADA MOTORIZADA,28
